"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"OGFOD2",3.76475109506371e-60,1.01237542080287,0.05,0.023,2.06952132446747e-55
"UCHL3",3.80753978349312e-60,0.678772275346193,0.104,0.06,2.093042694384e-55
"RSU1",4.06957557398212e-60,0.54433524986244,0.187,0.127,2.23708638877371e-55
"WDR1",4.50106459014565e-60,0.366764201579087,0.433,0.355,2.47428021584897e-55
"IKZF4",4.63547770105258e-60,1.4088327054891,0.033,0.012,2.54816844704561e-55
"XRN2",4.83499116416805e-60,0.450012206452982,0.286,0.212,2.65784299285482e-55
"CIAO1",5.82618649976737e-60,0.54547168790735,0.213,0.149,3.20271298078712e-55
"PSMA3",5.83543090967322e-60,0.441317019124162,0.289,0.215,3.20779472535647e-55
"POLD3",5.85060491687814e-60,1.05559356652937,0.049,0.022,3.21613602885708e-55
"EIF2AK1",7.1899503409674e-60,0.600372564446205,0.183,0.124,3.95238760193319e-55
"SYNE1",7.80323438294407e-60,0.551234907500431,0.259,0.19,4.28951597264819e-55
"ZNF770",7.99415356906243e-60,0.778832952374319,0.121,0.074,4.39446615844931e-55
"FURIN",8.15109021043496e-60,1.12643566472934,0.079,0.043,4.4807357995782e-55
"RAD9A",1.03700291258929e-59,0.812935693740054,0.09,0.05,5.7005087107946e-55
"PIBF1",1.09764131732508e-59,0.806091244881803,0.107,0.063,6.03384408546772e-55
"FAM50B",1.10557523686645e-59,1.19195429673062,0.039,0.016,6.07745763457858e-55
"HMBS",1.12165613187329e-59,1.23431163852454,0.036,0.014,6.16585592252068e-55
"ORC5",1.170263901387e-59,0.956062807616179,0.063,0.031,6.43305769231449e-55
"RPP21",1.30676214963758e-59,-0.720074852153094,0.153,0.224,7.18340221277275e-55
"ZNF101",1.35466184304101e-59,0.815433626889183,0.093,0.053,7.44671161738073e-55
"LBR",1.48303694065706e-59,0.491461794139146,0.288,0.216,8.1524023664859e-55
"UBASH3A",1.57628590506317e-59,0.675486773917064,0.126,0.078,8.66500124872273e-55
"EIF1AX",1.65795695993163e-59,-0.590381069702178,0.276,0.349,9.11395520444014e-55
"TADA2A",1.73535712303434e-59,1.13599127287786,0.04,0.016,9.53943164103206e-55
"PSMD1",1.8232643227419e-59,0.631077223404064,0.17,0.113,1.00226663085445e-54
"NEK9",1.82509070821954e-59,0.822577327580426,0.106,0.063,1.00327061321536e-54
"PTPA",1.84793603602035e-59,0.909081918092361,0.074,0.039,1.01582891836075e-54
"AC242426.2",1.85451501503681e-59,2.02020321775535,0.015,0.004,1.01944544891589e-54
"MRE11",1.86916775467094e-59,1.07174248711113,0.061,0.03,1.02750020642016e-54
"HADH",2.15557149734587e-59,0.796421101838875,0.077,0.041,1.184939207806e-54
"SIRPG",2.32479589924722e-59,0.572233178197587,0.197,0.137,1.27796355377519e-54
"ZNF678",2.39687888102617e-59,1.24609602104218,0.036,0.014,1.3175882896889e-54
"IL2RB",2.64373310875098e-59,0.433600291306164,0.381,0.305,1.4532865272115e-54
"DHRS4-AS1",2.64448422145365e-59,1.19035467531619,0.041,0.017,1.45369942137529e-54
"EBAG9",2.80760461262255e-59,0.695535344997243,0.115,0.069,1.54336833160474e-54
"NQO2",2.93301921284577e-59,0.759367365965387,0.08,0.043,1.61230999149345e-54
"CERS6",3.00744082777387e-59,1.37108569239185,0.029,0.01,1.65322029743558e-54
"CXorf38",3.07421877545008e-59,0.656788050130406,0.125,0.077,1.68992880305266e-54
"LSM4",3.17225179163974e-59,0.455365174500302,0.235,0.168,1.74381853238228e-54
"FUOM",3.6697822106982e-59,0.749338008478778,0.087,0.048,2.01731597904291e-54
"TIAM2",4.15603430013327e-59,1.45575710265694,0.028,0.01,2.28461361512626e-54
"FNDC3B",4.54318073912881e-59,1.02141976796976,0.065,0.032,2.4974318841065e-54
"ARHGAP11A",4.78848371785873e-59,1.31884157257781,0.041,0.017,2.63227738454412e-54
"CEP295",5.1357156002624e-59,1.07735221719043,0.059,0.029,2.82315422262024e-54
"C12orf10",5.15529711732706e-59,0.596135159356354,0.131,0.082,2.83391837836586e-54
"CCDC122",5.24498585519182e-59,1.75648500168173,0.019,0.005,2.88322117445749e-54
"PYCR1",5.43018401070409e-59,2.59046625919559,0.011,0.002,2.98502645252414e-54
"AK6",5.95120514689481e-59,0.720494482123676,0.117,0.071,3.27143698129955e-54
"BAG1",6.25148601398506e-59,0.491818331881762,0.274,0.204,3.43650437674773e-54
"SBDS",1.30163075183209e-58,-0.587278762578107,0.237,0.311,7.15519440589617e-54
"DBN1",1.30688686354381e-58,1.07228433859939,0.055,0.026,7.18408777758667e-54
"KIAA1671",1.32526747570072e-58,1.10613514119084,0.055,0.026,7.28512784067442e-54
"SNRPD1",1.44846502353654e-58,0.378097564428386,0.331,0.254,7.96235708088272e-54
"ZNF32",1.48375068045139e-58,0.701509967641706,0.099,0.057,8.15632586550936e-54
"NBPF1",1.63108473810128e-58,1.20607046660608,0.045,0.02,8.96623591381654e-54
"TMEM128",1.64756348755742e-58,0.803200804559392,0.075,0.04,9.05682124745191e-54
"MAPKAP1",1.71539790905587e-58,0.712972768757056,0.116,0.07,9.42971384587104e-54
"PKN2",1.7548507373361e-58,0.59912435407004,0.17,0.113,9.64658998821026e-54
"ZNF624",2.08746647608142e-58,1.49808225047083,0.023,0.007,1.14750119656671e-53
"MARK3",2.10834412780594e-58,0.583470033363457,0.182,0.124,1.15897785049621e-53
"ZFYVE26",2.19484411059244e-58,1.33092174494758,0.039,0.016,1.20652775603377e-53
"TCAIM",2.43541363146364e-58,1.11149510390683,0.048,0.022,1.33877122735188e-53
"APMAP",2.47148648302876e-58,-0.535406065933511,0.274,0.35,1.35860083458574e-53
"AIMP1",2.60415713165699e-58,0.533628434623057,0.182,0.124,1.43153121684316e-53
"LOC101929876",2.64607379330332e-58,-1.70506248717299,0.027,0.072,1.45457322491677e-53
"NNT",2.75884267501428e-58,0.868252988111539,0.091,0.052,1.5165634068821e-53
"ECI2",3.08903681419922e-58,0.568547174660918,0.153,0.099,1.69807442713345e-53
"PDCD10",3.40076472943919e-58,0.478042212095295,0.265,0.196,1.86943437942001e-53
"APOBEC3D",3.67706421761496e-58,0.796435103187729,0.064,0.032,2.02131897106512e-53
"PA2G4",3.88360118225914e-58,0.354303177657281,0.408,0.329,2.13485440589967e-53
"INPP4A",4.09859857742526e-58,0.70275288422919,0.134,0.085,2.25304062399644e-53
"DTYMK",4.55874727406154e-58,0.735014346420028,0.08,0.044,2.50598896402437e-53
"CEP162",5.01033827658037e-58,1.36675176677605,0.033,0.012,2.754233054019e-53
"ZNF24",5.02846673495736e-58,0.521638544876909,0.214,0.151,2.76419844887341e-53
"POU2F1",5.39837759491248e-58,0.965155074467481,0.055,0.026,2.96754214769934e-53
"MALAT1",5.9556689622342e-58,0.136974792575882,0.999,0.996,3.27389078522976e-53
"ZBTB14",6.49442932396709e-58,1.19617297685795,0.04,0.017,3.57005274367795e-53
"PPIE",6.63570157180206e-58,0.567154899848694,0.144,0.093,3.64771151103531e-53
"DUSP10",6.71713097279435e-58,-0.884583277410631,0.081,0.141,3.69247406705478e-53
"RPS4Y1",7.22407179765252e-58,0.247599874605788,0.494,0.396,3.97114450788757e-53
"DNAJC16",7.93941076159715e-58,1.23818599845322,0.038,0.016,4.36437348975757e-53
"NUDT18",8.41837788903422e-58,0.874775818404059,0.061,0.03,4.627666509381e-53
"ZNF691",8.8855026959276e-58,1.27544648441773,0.028,0.01,4.88444968697836e-53
"MAN1A1",9.09870333267457e-58,0.873889036582108,0.089,0.05,5.00164820900454e-53
"GPBP1",9.90689373703458e-58,0.370382772872515,0.482,0.405,5.44591855618528e-53
"GPS1",1.08470179975536e-57,0.570714375616529,0.169,0.113,5.96271426343521e-53
"BUB1",1.15416152876117e-57,1.66775252838543,0.025,0.008,6.34454133975304e-53
"HLA-H",1.29902025477377e-57,-0.969236504312345,0.039,0.089,7.14084424251689e-53
"STX6",1.3712215099811e-57,0.840537646037182,0.086,0.048,7.53774176251709e-53
"KRT10",1.42116683125643e-57,0.299552220528896,0.458,0.376,7.8122961880997e-53
"PPP1R14B",1.57258411076084e-57,0.838350522601506,0.128,0.081,8.64465211526342e-53
"LRRC75A-AS1",1.95379700900478e-57,-1.51171419229395,0.029,0.075,1.07402175382002e-52
"ZNF445",2.1382667866876e-57,1.13667088463294,0.042,0.018,1.17542663531004e-52
"FBXL15",2.4732489884118e-57,0.660825962255214,0.107,0.063,1.35956970141985e-52
"ACOT4",2.69079450756823e-57,1.08706576567773,0.042,0.018,1.47915664875533e-52
"TMEM242",2.88377186525768e-57,0.788973923026512,0.083,0.046,1.5852382320508e-52
"FBXO38",3.39318792156792e-57,0.963885756037363,0.065,0.033,1.8652693323651e-52
"SLC39A4",3.52650810151356e-57,0.868470489193723,0.061,0.03,1.93855676848302e-52
"ZHX2",4.14824608916862e-57,-1.11528934291268,0.042,0.092,2.28033235767688e-52
"C11orf58",4.20884148308471e-57,0.305418243207895,0.501,0.421,2.3136422516665e-52
"GPR155",4.34822221822244e-57,0.91072707663027,0.083,0.046,2.39026123557906e-52
"HAUS6",6.9033226183461e-57,0.910569556353237,0.076,0.041,3.79482547653103e-52
"AGL",6.90475695549137e-57,0.761297425311644,0.113,0.069,3.79561394600316e-52
"TNFAIP8L2",6.9176213029941e-57,1.18068487349461,0.031,0.012,3.80268560646888e-52
"LINC00278",6.9342411229096e-57,1.87804526295217,0.018,0.005,3.81182168767463e-52
"AC006504.5",9.85617487163689e-57,1.509626932056,0.026,0.009,5.41803788868751e-52
"CTH",9.90752187713758e-57,-2.68445170986514,0.009,0.043,5.4462638510813e-52
"SNUPN",1.04208032838709e-56,0.830774605541722,0.057,0.028,5.72841977317665e-52
"SRPK2",1.22289411957399e-56,0.543925067324298,0.203,0.141,6.72237126471016e-52
"FAM208B",1.47387891611121e-56,0.770150666081269,0.108,0.065,8.10205978975491e-52
"CBFA2T2",1.63971912625225e-56,0.712091765630085,0.109,0.065,9.01370000892123e-52
"WIPI1",1.78696458416462e-56,0.966189259076878,0.05,0.023,9.82312301561132e-52
"TRAV21",1.98588647324159e-56,0.980533436327204,0.078,0.043,1.09166165320564e-51
"NAA50",1.99345942644557e-56,-0.575983188273954,0.242,0.315,1.09582458131139e-51
"PPCDC",1.99514145654097e-56,1.07558674191744,0.038,0.015,1.09674921007514e-51
"SMC2",2.05637408657915e-56,0.957320374725555,0.062,0.031,1.13040939913342e-51
"SLC35A4",2.06596225131949e-56,0.778647744391734,0.086,0.048,1.13568010917284e-51
"UBASH3B",2.20989881812833e-56,1.03057164296377,0.073,0.039,1.21480347931332e-51
"PXMP4",2.25939411308593e-56,1.22668446511762,0.029,0.011,1.24201153790447e-51
"SGO2",2.42112739301179e-56,1.46759342435792,0.026,0.009,1.33091793921251e-51
"ANO6",2.44568301806459e-56,0.788092841093033,0.112,0.069,1.34441641186029e-51
"AL118516.1",2.65532348733696e-56,-1.28480947097819,0.035,0.081,1.459657874224e-51
"RMND1",2.82598542406926e-56,1.04120700365391,0.053,0.025,1.55347244746511e-51
"P2RY8",3.16704649380222e-56,-0.661210471787811,0.14,0.21,1.74095712810802e-51
"SCP2",3.52589370993288e-56,0.409768845219615,0.284,0.212,1.93821903128721e-51
"RBM41",3.89560619286144e-56,1.19629055624984,0.045,0.02,2.14145368027786e-51
"ARFGEF1",4.09235626158987e-56,0.661896693965699,0.154,0.102,2.24960916055857e-51
"STK17A",4.18603618112396e-56,0.251355598014921,0.646,0.575,2.30110594912565e-51
"UROS",4.2429012965836e-56,0.62843221377235,0.115,0.07,2.33236527174497e-51
"IARS",4.51069583444543e-56,0.722725431406668,0.129,0.082,2.479574607153e-51
"UBE2J2",4.53879806621405e-56,0.533440393220972,0.171,0.115,2.49502268497852e-51
"DCTD",4.63381532335511e-56,0.594391284691011,0.136,0.087,2.54725462140154e-51
"PPP2R5E",5.01706970150206e-56,0.624058198906749,0.174,0.119,2.7579333856127e-51
"ORAOV1",5.05725408510823e-56,0.917213737465214,0.065,0.033,2.78002314312484e-51
"ZNF7",5.07368500575273e-56,1.01534191245159,0.046,0.02,2.78905538451233e-51
"CLOCK",5.63398880698805e-56,1.13816616036576,0.043,0.019,3.0970599870894e-51
"POC5",5.67948659248839e-56,0.9393353497357,0.059,0.029,3.12207057475679e-51
"GLOD4",5.78483166096525e-56,0.535670622313095,0.173,0.117,3.17997981234921e-51
"IKBKE",5.79676351140214e-56,0.849542919386265,0.085,0.048,3.18653886985287e-51
"CNPY4",6.11325295316515e-56,1.04424193279552,0.051,0.024,3.36051628088442e-51
"RPP38",6.35771474308763e-56,0.742401236970055,0.087,0.049,3.4948993714227e-51
"AP1AR",6.63840510372427e-56,0.978106682108686,0.066,0.034,3.64919766956827e-51
"FBXO34",6.79756123152199e-56,-0.949824024451078,0.087,0.146,3.73668738457996e-51
"ASB1",6.79861431609844e-56,0.641051430060634,0.098,0.057,3.73726627570247e-51
"ZNF292",7.29395141854718e-56,0.497256294846567,0.263,0.196,4.00955803428957e-51
"WASHC5",7.90799042195395e-56,1.02095849998211,0.06,0.03,4.34710141485231e-51
"NUP37",8.3921989706337e-56,0.888655866809914,0.063,0.032,4.61327569614705e-51
"C17orf75",9.2515716619003e-56,0.926959918570807,0.052,0.024,5.08568145826321e-51
"SECISBP2",9.99784433274785e-56,0.528335869342434,0.196,0.137,5.49591500815482e-51
"RFX7",1.01513746453017e-55,1.04468820101219,0.05,0.023,5.58031215626879e-51
"SNRNP35",1.02325445444611e-55,0.751788729974118,0.11,0.066,5.6249320615357e-51
"NDRG1",1.04427059674795e-55,-0.961157987490178,0.069,0.126,5.74045989738317e-51
