"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MX1",0,3.62192884229063,0.688,0.126,0
"STAT1",0,2.81328131485909,0.709,0.182,0
"IFI6",0,3.47143656956496,0.681,0.163,0
"ISG15",0,2.84546105184277,0.797,0.293,0
"XAF1",0,3.31495060127285,0.597,0.093,0
"IFI44L",0,4.71842598032213,0.521,0.031,0
"EIF2AK2",0,3.0420418482125,0.583,0.113,0
"EPSTI1",0,3.37154606752716,0.545,0.081,0
"OAS1",0,4.3713652936686,0.487,0.036,0
"SAMD9L",0,3.38006053456778,0.516,0.077,0
"BST2",0,2.01211918366425,0.706,0.285,0
"LY6E",0,2.15715003169256,0.868,0.464,0
"RNF213",0,1.89994158061498,0.799,0.407,0
"SLFN5",0,2.33599544409885,0.56,0.17,0
"PSMB9",0,1.69612568669849,0.848,0.459,0
"RSAD2",0,5.14484027902652,0.4,0.016,0
"IFIT3",0,5.5821666796442,0.393,0.013,0
"HERC5",0,3.39605222040576,0.444,0.066,0
"UBE2L6",0,1.86410740227816,0.649,0.273,0
"PLSCR1",0,2.59167897892637,0.494,0.119,0
"IRF7",0,2.01850645248052,0.574,0.206,0
"GBP1",0,2.73974726458778,0.472,0.105,0
"CXCR4",0,-1.30792188355455,0.451,0.81,0
"SAMD9",0,2.41415287957846,0.493,0.139,0
"CREM",0,-2.08525084257498,0.288,0.638,0
"PARP9",0,2.99449002289664,0.416,0.067,0
"FOS",0,-1.48711712810858,0.377,0.724,0
"DUSP1",0,-1.20068648397251,0.408,0.754,0
"IFI35",0,2.59790361213349,0.45,0.104,0
"DRAP1",0,1.50133738818055,0.729,0.383,0
"TSC22D3",0,-1.61787541113939,0.487,0.827,0
"IFIT1",0,5.70180179673805,0.343,0.01,0
"TUBA4A",0,-1.96828197953728,0.296,0.626,0
"GBP5",0,1.85795546282079,0.548,0.221,0
"OAS2",0,3.0722067034468,0.386,0.059,0
"ADAR",0,1.73331765426676,0.582,0.255,0
"EEF1G",0,-1.57911535040558,0.292,0.617,0
"SP100",0,1.47317272674046,0.685,0.363,0
"TRIM22",0,1.69532752169114,0.595,0.273,0
"NR4A2",0,-1.71147031583455,0.221,0.542,0
"CMPK2",0,4.64318446908584,0.336,0.017,0
"PARP14",0,2.36631822548424,0.436,0.118,0
"DUSP2",0,-1.20609332599642,0.409,0.725,0
"JUNB",0,-1.54597030436944,0.493,0.808,0
"ZNF331",0,-2.17071451594244,0.143,0.452,0
"IFI44",0,3.51041383746602,0.344,0.038,0
"SP110",0,2.0305403514359,0.449,0.144,0
"YPEL5",0,-1.69948699853062,0.333,0.634,0
"IFI16",0,1.43038195264089,0.619,0.323,0
"RPS10",0,-0.941941443572175,0.31,0.605,0
"OAS3",0,3.99239693934004,0.322,0.027,0
"RGCC",0,-1.76985791652369,0.326,0.619,0
"IL7R",0,-1.90642803292293,0.235,0.524,0
"SHISA5",0,1.37253780772464,0.568,0.281,0
"TYMP",0,2.02516080559807,0.415,0.131,0
"MTRNR2L12",0,2.01825382162951,0.473,0.191,0
"MX2",0,2.60873406253367,0.364,0.091,0
"CSRNP1",0,-1.71172335584463,0.188,0.46,0
"TAP1",0,1.25282401406896,0.645,0.374,0
"ZFP36",0,-1.5544646972703,0.581,0.852,0
"DTX3L",0,2.67803611228602,0.335,0.065,0
"PHF11",0,1.72345530124596,0.425,0.155,0
"PSMB8",0,1.12853502081041,0.7,0.43,0
"TNFAIP3",0,-1.07897097464008,0.51,0.775,0
"ZFP36L2",0,-1.60078078179998,0.617,0.881,0
"LMNA",0,-2.62498360544041,0.117,0.38,0
"SLC2A3",0,-1.46270666106339,0.318,0.579,0
"MT2A",0,0.831498034295993,0.773,0.515,0
"DNAJB1",0,-1.48970147992515,0.483,0.74,0
"C19orf66",0,1.52012304010619,0.458,0.202,0
"RPS17",0,-1.19282003700376,0.283,0.538,0
"RBCK1",0,1.42786413899864,0.456,0.201,0
"PSMB10",0,1.17001571890937,0.531,0.278,0
"DDX60",0,2.90441118692516,0.298,0.048,0
"CHST12",0,1.3358175032946,0.461,0.213,0
"MYADM",0,-1.91337266492224,0.174,0.421,0
"LCP2",0,1.16491341296233,0.532,0.286,0
"GBP4",0,2.1063902803829,0.36,0.114,0
"GNLY",0,1.61674640846952,0.438,0.193,0
"CD38",0,3.01399489191861,0.296,0.051,0
"PPM1K",0,1.59190686345936,0.43,0.187,0
"OASL",0,1.45626072827108,0.491,0.248,0
"TNFSF10",0,2.14320783037067,0.354,0.113,0
"PSME2",0,1.02767550340312,0.673,0.434,0
"TRAF3IP3",0,1.34693607263521,0.424,0.188,0
"DDIT4",0,-1.36155166626237,0.297,0.532,0
"IFIT2",0,4.41403595022738,0.254,0.019,0
"GNG5",0,0.957001499282526,0.652,0.419,0
"TSPYL2",0,-1.55211603487535,0.218,0.45,0
"IKZF3",0,1.31197004984062,0.473,0.241,0
"TRAPPC1",0,0.936624691535751,0.537,0.308,0
"DDX58",0,2.42524378503672,0.294,0.068,0
"GIMAP7",0,1.13313550075595,0.529,0.307,0
"RBX1",0,0.993782526370822,0.518,0.296,0
"PPP1R15A",0,-1.20949202308553,0.402,0.623,0
"ATP1B3",0,-1.75001432312474,0.207,0.427,0
"CHMP5",0,1.6114922886967,0.349,0.129,0
"LEPROTL1",0,-1.13671012356945,0.472,0.69,0
"DDX17",0,1.05277466722749,0.54,0.324,0
"LAG3",0,1.28376649529268,0.539,0.324,0
"IRF1",0,1.08563043795693,0.622,0.408,0
"SELENOH",0,1.38346433141121,0.383,0.169,0
"FAM177A1",0,-1.47237247445544,0.325,0.538,0
"USP18",0,3.69015180216754,0.232,0.02,0
"IRF2",0,1.53135058836726,0.348,0.136,0
"HSPA5",0,-1.121921542456,0.443,0.653,0
"CRIP1",0,-0.930961028150331,0.52,0.73,0
"DDX60L",0,2.59253357151678,0.264,0.055,0
"RPL36A",0,-1.08801981639473,0.537,0.745,0
"GABARAPL1",0,-1.23913942454591,0.25,0.457,0
"JUND",0,-1.04717601139727,0.268,0.474,0
"FOSB",0,-1.14033940931884,0.202,0.408,0
"COX5A",0,1.01924023803172,0.582,0.377,0
"PER1",0,-2.44930883542507,0.058,0.262,0
"SYNE2",0,1.01562352061522,0.608,0.404,0
"GIMAP4",0,0.945559156826427,0.479,0.277,0
"GBP2",0,1.13042498638519,0.451,0.25,0
"HELZ2",0,2.60575649475733,0.25,0.05,0
"XRN1",0,1.49111476253419,0.371,0.171,0
"TRAC",0,1.12990717403742,0.459,0.26,0
"NMI",0,1.97729616314369,0.284,0.086,0
"LAP3",0,1.43041933450864,0.356,0.158,0
"LNPEP",0,1.42679106138417,0.369,0.171,0
"LIMD2",0,0.719661174482555,0.671,0.474,0
"PTPN6",0,1.41389662072417,0.318,0.121,0
"S100A11",0,0.654745507528293,0.674,0.478,0
"PRELID1",0,0.847938382930319,0.518,0.322,0
"STAT2",0,2.62274295153241,0.244,0.048,0
"APOL6",0,1.37140804520735,0.367,0.171,0
"PRDX5",0,0.964672819404274,0.488,0.293,0
"ARPC5",0,0.865928421306887,0.513,0.319,0
"SYAP1",0,-1.56948796912202,0.181,0.374,0
"ANAPC11",0,0.893305443554944,0.468,0.275,0
"RPL17",0,-1.19440385130345,0.633,0.826,0
"ISG20",0,1.13501070216251,0.812,0.62,0
"DYNLT1",0,1.09042206592268,0.38,0.189,0
"PYURF",0,1.13014581217721,0.407,0.217,0
"IFIH1",0,2.62797264397414,0.235,0.046,0
"IFIT5",0,2.72897046163608,0.227,0.038,0
"SNX6",0,1.03235871294422,0.43,0.241,0
"GZMB",0,0.867872332864976,0.559,0.371,0
"UQCR10",0,0.669085929962327,0.628,0.441,0
"ATP5MC3",0,0.998686838200945,0.489,0.302,0
"TRANK1",0,1.80631851358926,0.283,0.097,0
"CCDC85B",0,0.753854806665375,0.53,0.348,0
"EVL",0,0.751543433803154,0.703,0.521,0
"HSH2D",0,2.23005819400274,0.237,0.056,0
"DUSP4",0,-1.20084334308936,0.354,0.534,0
"ELL2",0,-2.35772184208063,0.057,0.237,0
"LSM2",0,1.03400652220586,0.361,0.182,0
"ATP5F1D",0,0.988652130452965,0.48,0.301,0
"CISH",0,1.80136865361584,0.251,0.073,0
"ATP5MF",0,1.0013232196058,0.445,0.267,0
"NRDC",0,1.34395803853955,0.332,0.155,0
"VAMP5",0,1.18547969750767,0.329,0.154,0
"SELENOK",0,-1.34300393435611,0.304,0.479,0
"ELOB",0,0.899112659706571,0.569,0.394,0
"ATP5PF",0,1.06090508640309,0.382,0.208,0
"PSMA5",0,0.88085519574736,0.431,0.259,0
"LGALS9",0,2.76908713407529,0.206,0.035,0
"ANXA1",0,-1.59719497183036,0.489,0.659,0
"NR4A3",0,-2.41526284139038,0.046,0.216,0
"ZNFX1",0,1.46410510567316,0.301,0.131,0
"SRSF2",0,-1.03153555754625,0.486,0.655,0
"NDUFB7",0,0.866039575544164,0.389,0.22,0
"TRAFD1",0,2.05912763317221,0.229,0.062,0
"AP2S1",0,1.00302078431759,0.361,0.196,0
"IFITM3",0,0.934927623961655,0.308,0.144,0
"PARP1",0,1.08871587586353,0.355,0.191,0
"SETX",0,1.35588368734116,0.302,0.14,0
"MYL12A",0,0.803317328100101,0.825,0.663,0
"NUB1",0,1.25040498863864,0.313,0.152,0
"RSBN1L",0,0.99599875299035,0.351,0.19,0
"ITGA1",0,1.40956822558811,0.3,0.14,0
"SAMHD1",0,1.11720649446424,0.336,0.177,0
"ACP5",0,1.30379796391421,0.276,0.117,0
"RARRES3",0,0.79443116618754,0.724,0.566,0
"SYNRG",0,1.02819622604629,0.338,0.18,0
"ZBP1",0,1.87785010148339,0.232,0.074,0
"RTP4",0,3.03761464249861,0.181,0.023,0
"AC116366.3",0,1.82387145824904,0.24,0.082,0
"LSM6",0,0.989223392247356,0.304,0.147,0
"ETV7",0,3.13224121085988,0.18,0.023,0
"HIST1H1E",0,1.40552888893827,0.312,0.156,0
"PARP12",0,2.023022210241,0.216,0.06,0
"ATP5MC2",0,0.765957373399447,0.638,0.484,0
"CISD3",0,1.51946263738191,0.227,0.076,0
"RNASEH2B",0,1.27870398761792,0.266,0.116,0
"CASP1",0,1.19266934474861,0.275,0.126,0
"PARP10",0,1.53896236413299,0.242,0.093,0
"OGA",0,1.19816852976314,0.298,0.149,0
"TAGLN2",0,-1.06739633750446,0.526,0.674,0
"DNPH1",0,1.13573957401506,0.276,0.128,0
"TRIM21",0,2.05975703582584,0.2,0.052,0
"GSDMD",0,1.05897060833771,0.285,0.139,0
"SLFN12L",0,1.45272378596843,0.257,0.112,0
"APOBEC3C",0,1.16123879215364,0.274,0.133,0
"HERC6",0,2.95519435038445,0.161,0.022,0
"PRDX3",0,1.11893625617306,0.263,0.125,0
"TRIM38",0,1.40052486196386,0.241,0.104,0
"EZR",0,-1.24983313284393,0.58,0.715,0
"FIBP",0,1.08798124181373,0.254,0.119,0
"PML",0,1.50421850353663,0.223,0.088,0
"LAMP3",0,4.05228499920798,0.145,0.011,0
"CYBC1",0,1.44393257826664,0.219,0.086,0
"SRSF7",0,-0.723173312017911,0.625,0.757,0
"PNPT1",0,2.19713390631642,0.177,0.047,0
"AZI2",0,1.47856972607595,0.212,0.085,0
"TRIM69",0,1.53309883078171,0.197,0.071,0
"TRIM25",0,2.36496333331532,0.158,0.034,0
"IFITM1",0,1.47387918122202,0.942,0.823,0
"BISPR",0,2.25094816801478,0.152,0.035,0
"WARS",0,2.01692547614187,0.167,0.051,0
"RPL38",0,-0.804697467141377,0.755,0.871,0
"ENDOD1",0,2.112151066585,0.156,0.041,0
"TRIM56",0,1.84657150523176,0.165,0.051,0
"SMIM29",0,1.65238432522512,0.172,0.058,0
"ARPC2",0,0.563138328367451,0.831,0.718,0
"TMEM140",0,1.44989793746656,0.179,0.069,0
"GBP3",0,1.54820820332502,0.164,0.057,0
"SPATS2L",0,1.52913116964659,0.166,0.059,0
"TRIM14",0,1.70737026523222,0.158,0.051,0
"FBXO6",0,1.94373290115565,0.138,0.034,0
"AL138963.3",0,2.26559108964811,0.129,0.027,0
"SRGN",0,-1.36339491215745,0.817,0.915,0
"HAPLN3",0,2.13656439112329,0.131,0.033,0
"RPS29",0,-1.16100188648832,0.852,0.95,0
"UBB",0,-0.876828580970754,0.737,0.833,0
"BTG1",0,-1.00246687960007,0.851,0.945,0
"IFI27",0,4.52914983861889,0.098,0.01,0
"TRIM5",0,2.15926711528277,0.106,0.024,0
"MT-ATP8",0,-0.744265549556185,0.841,0.922,0
"RPS28",0,-0.356847339595907,0.921,0.844,0
"DHX58",0,2.56762023517975,0.089,0.014,0
"APOL1",0,2.26567844013358,0.087,0.018,0
"PABPC1",0,-0.640182831243194,0.775,0.843,0
"SARAF",0,-0.995198270158053,0.844,0.91,0
"KLHDC7B",0,1.92574771476503,0.088,0.022,0
"CCR1",0,2.88741049220688,0.076,0.011,0
"RPL26",0,-0.917098869825746,0.895,0.959,0
"HSPA8",0,-0.9285839340934,0.833,0.893,0
"COL6A3",0,2.40906637623443,0.074,0.014,0
"UBC",0,-1.12363469423302,0.872,0.931,0
"AKAP2",0,2.51174598097318,0.071,0.013,0
"PFN1",0,0.424409291934923,0.95,0.894,0
"TRAV26-2",0,2.84075542787941,0.07,0.016,0
"SH3BGRL3",0,0.46801953324672,0.955,0.905,0
"ARHGDIB",0,-0.49504505792362,0.827,0.869,0
"MT-ND3",0,-0.934793760583698,0.932,0.972,0
"RPL3",0,-0.437285823053639,0.92,0.954,0
"RPL37A",0,-0.517039682991835,0.884,0.917,0
"AP001610.1",0,4.05382670577013,0.028,0.002,0
"IGLV1-51",0,3.59526537510491,0.026,0.002,0
"RPS21",0,-0.651351274843555,0.948,0.971,0
"EIF1",0,-0.574821902572138,0.954,0.974,0
"RPS26",0,-0.632147878012868,0.921,0.938,0
"FTH1",0,-1.23629394772002,0.946,0.96,0
"SPAG6",0,4.36101175480661,0.015,0.001,0
"RPS3A",0,-0.332051097161317,0.957,0.97,0
"RPL36",0,-0.357580592674579,0.95,0.963,0
"RPS25",0,-0.333689098074333,0.956,0.968,0
"PTMA",0,-0.455792336244568,0.964,0.975,0
"RPL35A",0,-0.426177981308063,0.957,0.968,0
"RPL34",0,-0.542707815844214,0.969,0.98,0
"RPS27",0,-0.828287408762352,0.983,0.993,0
"RPL37",0,-0.378206611089009,0.958,0.968,0
"RPL39",0,-0.66172133151723,0.974,0.984,0
"RPL11",0,-0.329328749469967,0.977,0.985,0
"TMSB10",0,0.364403053588347,0.984,0.976,0
"RPS3",0,-0.281261630892987,0.975,0.983,0
"RPL23A",0,-0.3893816489105,0.934,0.942,0
"RPS15A",0,-0.407686865337074,0.981,0.988,0
"RPS27A",0,-0.296112486420746,0.977,0.983,0
"RPL32",0,-0.299279610902904,0.977,0.983,0
"RPL10",0,-0.291733922426501,0.989,0.993,0
"RPL30",0,-0.425902385461111,0.983,0.987,0
"EEF1A1",0,-0.424327531114525,0.988,0.991,0
"CDKN1A",6.90841190696442e-308,-2.13315210535494,0.077,0.252,3.79762310937741e-303
"PDCL3",7.43962994666348e-308,-1.60294632290787,0.149,0.334,4.08963897798038e-303
"HSPE1",1.0610021543426e-307,-1.55394731021984,0.488,0.633,5.83243494263672e-303
"C4orf48",1.89161371937006e-307,0.902785217079705,0.378,0.215,1.03983897767492e-302
"PPP1CA",3.33330164689164e-307,0.694018479935157,0.572,0.396,1.8323492483128e-302
"HMGN3",1.64127328266374e-305,0.897178844088142,0.372,0.208,9.02224336213084e-301
"ME2",4.72585769207174e-304,1.36679238284509,0.189,0.078,2.59785123190875e-299
"GPR174",1.57447273090001e-302,1.43415027800258,0.233,0.108,8.65503404903047e-298
"ZRANB2",1.391483428081e-300,1.03688618799822,0.318,0.168,7.64912355250408e-296
"TUBB4B",4.03288459761474e-300,-1.15134023027348,0.317,0.495,2.2169169921548e-295
"RPS18",1.42313205219839e-298,-0.304937742631219,0.963,0.976,7.82309920413978e-294
"LDHA",1.13812540197396e-297,-0.803876361675526,0.621,0.723,6.25638914719104e-293
"PRF1",4.29160628010903e-297,0.901825578247895,0.53,0.363,2.35913888823873e-292
"LINC01943",3.54530407969407e-296,1.84742665478229,0.128,0.044,1.94888910564863e-291
"CMTR1",1.08121484065959e-295,1.6411005452186,0.123,0.041,5.94354610058981e-291
"ITGA2",6.08985155220893e-294,2.49351751309593,0.054,0.01,3.34765229676477e-289
"MYD88",7.86830240852598e-294,1.28096963863439,0.211,0.093,4.32528451699082e-289
"KRCC1",4.43811877055084e-293,1.28882125751765,0.189,0.079,2.4396782693595e-288
"JUN",1.06550450016798e-292,-0.58698229213318,0.608,0.793,5.8571847878734e-288
"IGKV4-1",2.83141148408596e-291,4.39385710643171,0.043,0.007,1.55645520691689e-286
"ENTPD1",6.79682136197106e-291,1.36361316464211,0.194,0.083,3.73628067088911e-286
"RPLP2",1.98020414497032e-290,-0.306723668755308,0.956,0.963,1.08853802053164e-285
"LITAF",4.56537113250931e-290,-0.978306032180872,0.438,0.583,2.50963016525169e-285
"PTP4A1",2.45425641711756e-289,-1.47543506579568,0.181,0.36,1.34912929505369e-284
"CTSW",6.82869271336194e-289,-0.750179092900255,0.347,0.555,3.75380067146219e-284
"ODF3B",1.89108220506019e-288,1.44911099139801,0.141,0.051,1.03954679894364e-283
"ATP5MC1",3.22776136952853e-288,1.24208285682592,0.205,0.09,1.77433270244353e-283
"TMEM123",8.6897796809689e-287,0.923838390342218,0.411,0.251,4.77685878842542e-282
"SLC7A5",1.19670967892696e-286,-1.17108444297808,0.259,0.439,6.57843277602939e-282
"PYCARD",6.21154825078133e-286,1.04947241465296,0.247,0.118,3.414550188937e-281
"RPL13A",1.34498606202978e-285,-0.463833589220177,0.814,0.861,7.39352288158393e-281
"RAC2",2.93092240424393e-285,0.566056388669515,0.745,0.62,1.61115735483693e-280
"ATP6V0C",7.39181855613995e-285,-0.79344984087726,0.482,0.631,4.06335657849569e-280
"NEAT1",1.20423762980365e-284,0.866148326926902,0.627,0.476,6.61981467479363e-280
"SERF2",1.4851093612468e-284,0.342883305968533,0.926,0.876,8.16379466970978e-280
"ATP8B4",4.51763084207678e-284,2.02792797678051,0.081,0.021,2.48338685019803e-279
"DYNLRB1",9.54854498509411e-284,0.781246227928862,0.451,0.282,5.24893066375608e-279
"TRADD",6.75462736707911e-283,1.13765324318932,0.227,0.105,3.71308620995706e-278
"JOSD2",9.56197228647869e-283,1.13615562272643,0.204,0.089,5.2563117856002e-278
"DOCK8",1.10193994538998e-282,0.965480645146994,0.4,0.241,6.05747407380325e-278
"BRK1",4.8383932906714e-282,0.699534915209137,0.544,0.375,2.65971317581498e-277
"LAYN",1.1527435896507e-279,1.48233193018057,0.132,0.046,6.33674678666889e-275
"PARP11",2.55192921161208e-279,1.65492109020265,0.107,0.034,1.40282100691528e-274
"NDUFS8",2.55560487871675e-279,0.835002144757014,0.37,0.213,1.40484155787938e-274
"IGKV1-9",3.28833628018338e-278,1.21213398802952,0.022,0.002,1.80763133657961e-273
"LINC02384",4.20933391999046e-278,2.83723243310532,0.04,0.006,2.31391294915796e-273
"MOV10",4.9396985492493e-278,1.67588987012443,0.113,0.037,2.71540168950783e-273
"HAVCR2",1.03374844112805e-277,1.23056354248889,0.199,0.087,5.68261855572502e-273
"AL133415.1",3.60336846824986e-277,2.12576214955459,0.063,0.014,1.98080768068163e-272
"BARD1",6.50455144224206e-277,1.694787365104,0.101,0.031,3.57561697331488e-272
"MAD2L2",1.39693216056375e-276,1.08885965382658,0.233,0.11,7.67907577983499e-272
"PI4K2B",9.04864252823643e-276,1.64055539167132,0.116,0.039,4.97412928419685e-271
"COA3",1.41919146033771e-275,1.15267049693031,0.195,0.084,7.80143737662243e-271
"PSME1",3.68557764428552e-275,0.483153029074406,0.796,0.691,2.0259988868402e-270
"AMD1",7.41096090386324e-272,-1.25068255357581,0.203,0.38,4.07387931846266e-267
"C4orf3",1.12485845468388e-271,0.691351267457901,0.546,0.386,6.18345941124277e-267
"TCAF1",1.24319416738388e-271,1.88267240926191,0.085,0.023,6.83396265752591e-267
"CARD16",1.91637882073166e-271,0.845901684578945,0.397,0.236,1.0534526015444e-266
"TGFB1",5.80629090751223e-270,-1.1746104749125,0.283,0.45,3.19177617476855e-265
"IL15RA",2.23635432954359e-267,1.59234110681991,0.1,0.031,1.22934633849341e-262
"MIEN1",3.31798328269502e-267,0.88520477136021,0.319,0.174,1.82392859033028e-262
"SEM1",8.38081400022678e-266,0.887363994009508,0.404,0.251,4.60701726406466e-261
"LAMTOR2",1.24147288669035e-265,0.986109336630184,0.252,0.124,6.82450060542552e-261
"CXCL13",1.43771407332201e-265,0.700702822410886,0.305,0.161,7.9032580324584e-261
"FASLG",5.58997691610659e-265,1.24636794544443,0.219,0.103,3.07286621055295e-260
"AC116407.2",2.3746706262548e-262,2.56043911449284,0.047,0.009,1.30538018995853e-257
"NDUFB3",2.9328032571644e-262,0.913684024698528,0.302,0.163,1.61219127849584e-257
"CD164",7.72753881847137e-262,0.766842114222697,0.491,0.329,4.2479053639019e-257
"ARL6IP1",3.43094698030412e-261,-1.10775855645563,0.249,0.423,1.88602586454298e-256
"DEK",6.79282102315332e-260,0.76733770038556,0.515,0.356,3.73408164463761e-255
"CALM2",7.81102221355004e-260,-0.68765648959671,0.602,0.716,4.29379702101059e-255
"GZMK",1.07178691325757e-259,-0.856833187521417,0.336,0.516,5.89171984086817e-255
"TCEA1",5.0367197327355e-258,0.743541653439674,0.495,0.334,2.76873520428203e-253
"FUT8",2.0164440505404e-257,1.37064932843755,0.167,0.07,1.10845945902256e-252
"ARHGAP30",2.77432931646159e-257,0.970778699780016,0.33,0.187,1.5250765685521e-252
"IGLV6-57",2.97555279396967e-257,3.28603657016157,0.025,0.003,1.63569112637307e-252
"VPS37B",1.21957194875166e-255,-1.40535166109206,0.156,0.323,6.70410895948276e-251
"OGFR",1.94391826517858e-255,1.02207467425414,0.295,0.16,1.06859130955132e-250
"LSP1",2.68481361422983e-254,0.608120666482887,0.722,0.605,1.47586889187828e-249
"USP30-AS1",1.12765595806102e-252,1.57263658413862,0.097,0.03,6.19883756705721e-248
"LUC7L3",2.58446501193138e-252,0.894190025654722,0.342,0.197,1.4207062617088e-247
"R3HDM1",2.67581953488066e-252,1.3847730863915,0.161,0.067,1.47092475651925e-247
"CALCOCO2",4.75501290647737e-252,0.914802946581355,0.34,0.196,2.61387814481968e-247
"KLF6",8.46290376337943e-252,-0.622498849791273,0.749,0.822,4.65214282776731e-247
"MRPS18B",8.61695010217177e-252,1.07947565056075,0.204,0.094,4.73682364066484e-247
"RPL21",1.20791430982905e-251,-0.362021746982769,0.886,0.911,6.64002575256125e-247
"OTOF",2.47175410487025e-251,3.07079629818723,0.03,0.004,1.35874794898823e-246
"RBPJ",8.48006162263592e-250,0.757988387152308,0.442,0.281,4.66157467457919e-245
"KLF2",4.60978363389229e-249,-1.80639059278973,0.129,0.288,2.53404416138693e-244
"ARPC5L",3.48011852022678e-248,0.768942932569057,0.421,0.265,1.91305595175386e-243
"CLIC3",1.17898268427159e-245,1.18129044612578,0.226,0.111,6.48098571370936e-241
"LINC01358",2.61184313677906e-244,2.24556177051519,0.051,0.011,1.43575629071882e-239
"SNF8",2.70051045101925e-244,1.09677401962075,0.216,0.104,1.48449760002979e-239
"BCL2L14",5.47751466319073e-244,4.55437960950506,0.012,0.001,3.01104458550258e-239
"NSD1",1.41681642174856e-243,1.09470591490516,0.244,0.124,7.788381551994e-239
"PTGER4",1.65554355428102e-243,-1.07267403565671,0.228,0.398,9.10068847223822e-239
"TLN1",1.93165173505285e-243,0.919046352334826,0.359,0.216,1.0618482752759e-238
"GSTP1",4.38550462399532e-242,0.634728284230885,0.569,0.413,2.41075574685647e-237
"UBXN4",1.58047280631693e-241,0.713946875813557,0.521,0.362,8.68801706360477e-237
"PLK3",5.00452371552188e-241,-1.69241731619513,0.09,0.242,2.75103673165953e-236
"KPNB1",1.05101538061443e-240,0.837119276958166,0.407,0.258,5.77753664877557e-236
"COPZ1",1.45020493010333e-239,0.925896745355254,0.273,0.145,7.97192152127103e-235
"SPOCK2",3.03657492909558e-239,-0.784472414500406,0.399,0.555,1.66923560427313e-234
"GTF2I",2.62693349568204e-238,1.0835182833859,0.25,0.129,1.44405161191137e-233
"JAK1",9.20787460635714e-238,0.593221490510642,0.665,0.522,5.06166074986059e-233
"S100PBP",1.47642571211457e-237,1.34013556853633,0.154,0.064,8.116059782065e-233
"TUBA1A",1.55272604289701e-237,-0.98299271183673,0.32,0.481,8.53549033040914e-233
"MRPS34",1.69650152052348e-237,0.799620055026784,0.347,0.204,9.32583850846964e-233
"HERPUD1",3.30752006968086e-237,-0.879929556828094,0.369,0.526,1.81817685750427e-232
"PNISR",3.38848766046098e-237,0.696647292523168,0.519,0.361,1.86268555183201e-232
"CD55",3.88144022388331e-237,-1.34840414376328,0.176,0.336,2.13366650547089e-232
"AC099063.4",4.03619561400569e-237,2.47408107274454,0.042,0.008,2.21873709097507e-232
"POLR3K",9.9411880992623e-237,1.21522977365709,0.163,0.07,5.46477051004548e-232
"NR4A1",2.07066536022105e-235,-2.28503324118888,0.069,0.211,1.13826545516711e-230
"GPR183",2.8955392493411e-235,-1.28773337523166,0.141,0.304,1.5917068807553e-230
"PBXIP1",4.28695041993547e-234,-1.12557460824485,0.192,0.358,2.35657951534273e-229
"CD44",5.77326307739002e-234,-0.583322430335827,0.613,0.724,3.17362044627207e-229
"SMCHD1",9.7818047508574e-234,0.654252111337735,0.626,0.475,5.37715588959382e-229
"COX6B1",1.35818264144225e-233,0.488316421062834,0.682,0.54,7.46606579827222e-229
"ZFR",2.06705751919094e-233,0.988009918713659,0.266,0.142,1.13628218887445e-228
"RAB3GAP1",1.21401565928272e-232,1.22180915663673,0.194,0.091,6.67356548064305e-228
"TENT5C",1.80175757017647e-232,-1.54016075789332,0.097,0.25,9.90444153901707e-228
"DGLUCY",8.6661536957388e-232,1.64786348311342,0.104,0.036,4.76387134808458e-227
"ANKFY1",1.27137818818572e-231,1.52290052891069,0.12,0.044,6.9888930382757e-227
"ISCA1",9.71886377106173e-231,-1.2425850077215,0.17,0.329,5.34255660359035e-226
"JAML",2.44797986006476e-230,1.16566896916944,0.323,0.193,1.3456790088762e-225
"IFI27L2",3.48999685563846e-230,0.769084130765222,0.356,0.214,1.91848617151302e-225
"CLIP1",5.02835101049406e-230,1.17538073714594,0.206,0.099,2.76413483397869e-225
"BAX",1.17154147354663e-229,0.689426500322548,0.42,0.268,6.44008063423317e-225
"OAT",1.21523592442226e-229,-1.64165303856616,0.099,0.247,6.68027340014161e-225
"PLEC",4.15392515856049e-229,1.08453859391455,0.255,0.135,2.28345419891229e-224
"REL",5.46451854120622e-229,-1.02847561422534,0.294,0.449,3.00390048728647e-224
"CHMP1B",7.89020207424321e-229,-1.74992648787795,0.097,0.245,4.33732298223223e-224
"NCOR1",1.05124997550103e-228,0.742605078662354,0.498,0.348,5.77882624032672e-224
"WASHC1",1.89132329286506e-228,1.38431787269456,0.131,0.051,1.03967932732085e-223
"ERAP2",4.38831579700959e-228,1.07070564888344,0.25,0.131,2.41230107677414e-223
"CD8B",4.42569097031837e-228,0.405104665087037,0.771,0.606,2.43284658329371e-223
"TSPO",4.92515252764191e-228,0.655832471195104,0.482,0.328,2.70740559597004e-223
"ITGAE",5.3506033116913e-228,0.845846255120022,0.414,0.268,2.94128014646983e-223
"MYCBP2",1.20252678016761e-227,0.907289667756888,0.366,0.225,6.61040996325935e-223
"ARHGEF3",4.52149385837525e-227,0.980449737170742,0.273,0.147,2.48551038888746e-222
"STUB1",8.22908849613962e-227,0.766984078351449,0.366,0.223,4.52361223721291e-222
"RPS4X",2.19560110344833e-226,-0.30333937961615,0.96,0.974,1.20694388257658e-221
