"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FTH1",2.02219340608025e-287,1.97209517572655,0.999,0.985,3.29516415520776e-283,"Naive_like_1_CM","FTH1"
"CREM",1.2800934844424e-227,1.05169332232307,0.91,0.391,2.08591233289889e-223,"Naive_like_1_CM","CREM"
"PABPC1",3.12496582328715e-220,1.40555930000542,0.986,0.893,5.09213180904641e-216,"Naive_like_1_CM","PABPC1"
"CD7",6.54808991103307e-204,1.24104019067545,0.964,0.761,1.06701125100284e-199,"Naive_like_1_CM","CD7"
"RPS16",6.70052458957463e-169,0.700644363591838,1,0.987,1.09185048187119e-164,"Naive_like_1_CM","RPS16"
"DDIT4",9.16789470082932e-128,0.940905912256253,0.619,0.233,1.49390844150014e-123,"Naive_like_1_CM","DDIT4"
"SRGN",2.91194255573624e-117,0.682878754806003,0.995,0.923,4.7450103945722e-113,"Naive_like_1_CM","SRGN"
"RPL28",1.8451201178073e-115,0.448336056781913,1,0.993,3.006623231967e-111,"Naive_like_1_CM","RPL28"
"SOCS3",2.37023281739615e-114,0.871842345069601,0.359,0.087,3.86229437594703e-110,"Naive_like_1_CM","SOCS3"
"RPL12",3.3323829977965e-111,0.554341489056596,0.999,0.971,5.4301180949094e-107,"Naive_like_1_CM","RPL12"
"RPS4X",5.28257804900672e-107,0.52165967699138,1,0.981,8.60796093085645e-103,"Naive_like_1_CM","RPS4X"
"ABLIM1",4.69667630399353e-100,1.16334547508979,0.65,0.332,7.65323403735746e-96,"Naive_like_1_CM","ABLIM1"
"ZFP36",1.20237303938806e-93,0.764007840475383,0.924,0.751,1.95926686768284e-89,"Naive_like_1_CM","ZFP36"
"PDE4B",3.82837875867511e-89,0.813131753018568,0.581,0.254,6.23834318726109e-85,"Naive_like_1_CM","PDE4B"
"SIPA1L1",6.50082625293019e-89,0.792243027741676,0.359,0.111,1.05930963791497e-84,"Naive_like_1_CM","SIPA1L1"
"RPLP0",1.12910803069712e-83,0.441009787392592,0.998,0.986,1.83988153602095e-79,"Naive_like_1_CM","RPLP0"
"ADK",5.26491082503609e-83,0.842653319573612,0.56,0.26,8.57917218939631e-79,"Naive_like_1_CM","ADK"
"SATB1",5.50298115702754e-83,0.85616249911463,0.481,0.198,8.96710779537638e-79,"Naive_like_1_CM","SATB1"
"BACH2",2.25941920047668e-79,0.747613837494072,0.395,0.14,3.68172358717674e-75,"Naive_like_1_CM","BACH2"
"SPOCK2",5.91580366229717e-74,0.698277145022812,0.807,0.537,9.63980206771323e-70,"Naive_like_1_CM","SPOCK2"
"SESN3",4.48257185559024e-72,0.769980524582271,0.292,0.089,7.30435083868429e-68,"Naive_like_1_CM","SESN3"
"CD8A",4.54739778625916e-72,0.605963001946923,0.942,0.781,7.40998469270931e-68,"Naive_like_1_CM","CD8A"
"PIK3R1",1.167930972535e-70,0.613368292063286,0.674,0.365,1.90314351974578e-66,"Naive_like_1_CM","PIK3R1"
"RPL10",4.9572407375488e-69,0.315611174258269,1,0.996,8.07782378183577e-65,"Naive_like_1_CM","RPL10"
"ARID5B",1.76599191267253e-68,0.631249600753695,0.737,0.44,2.87768382169988e-64,"Naive_like_1_CM","ARID5B"
"RPL32",5.89889095150961e-66,0.326885744758703,1,0.994,9.61224280548491e-62,"Naive_like_1_CM","RPL32"
"TENT5C",9.91531073549749e-66,0.614779596766676,0.44,0.18,1.61569988434932e-61,"Naive_like_1_CM","TENT5C"
"RPS18",4.51914326159113e-63,0.389458715491138,0.999,0.984,7.36394394476275e-59,"Naive_like_1_CM","RPS18"
"LUZP1",2.01688655157457e-62,0.567279968652133,0.345,0.127,3.28651663579076e-58,"Naive_like_1_CM","LUZP1"
"SPTBN1",3.90427667246947e-61,0.647542869916501,0.399,0.163,6.36201883778901e-57,"Naive_like_1_CM","SPTBN1"
"ARID5A",4.16482214693778e-61,0.628970095464281,0.695,0.409,6.78657768843512e-57,"Naive_like_1_CM","ARID5A"
"PLEKHG2",9.0890801016753e-61,0.481018249314402,0.216,0.056,1.48106560256799e-56,"Naive_like_1_CM","PLEKHG2"
"MT-CO3",3.24258401717951e-60,0.396352460620411,0.999,0.989,5.28379065599401e-56,"Naive_like_1_CM","MT-CO3"
"SMIM3",1.02490150095402e-57,0.506528718016781,0.274,0.089,1.67007699580458e-53,"Naive_like_1_CM","SMIM3"
"ZFP36L2",3.29368458583015e-56,0.584077678980933,0.906,0.736,5.36705903261023e-52,"Naive_like_1_CM","ZFP36L2"
"EML4",4.27490432071152e-54,0.595611311133389,0.746,0.5,6.96595659059942e-50,"Naive_like_1_CM","EML4"
"RPS12",1.81886423490934e-53,0.290051340306877,1,0.995,2.96383927078477e-49,"Naive_like_1_CM","RPS12"
"RPL3",4.90961132586894e-53,0.404489926475265,0.989,0.964,8.00021165550343e-49,"Naive_like_1_CM","RPL3"
"RPL34",7.12687376311543e-53,0.316251214931373,0.999,0.987,1.16132407969966e-48,"Naive_like_1_CM","RPL34"
"TPT1",1.76937630162869e-52,0.303029750013603,0.999,0.996,2.88319868350396e-48,"Naive_like_1_CM","TPT1"
"RPS5",5.6242051977897e-52,0.346108746603539,1,0.976,9.16464236979832e-48,"Naive_like_1_CM","RPS5"
"SNX9",1.18498308991598e-50,0.624429399955957,0.518,0.276,1.93092994501809e-46,"Naive_like_1_CM","SNX9"
"EEF1A1",1.01973284572601e-49,0.280255376076193,1,0.998,1.66165467211054e-45,"Naive_like_1_CM","EEF1A1"
"C12orf57",1.74517086454705e-48,0.542626883491661,0.782,0.581,2.84375592377941e-44,"Naive_like_1_CM","C12orf57"
"RPS28",1.48172240754339e-47,0.307643111998604,0.996,0.977,2.41446666309195e-43,"Naive_like_1_CM","RPS28"
"RPL11",3.54255121442297e-47,0.277839444216919,1,0.991,5.77258720390223e-43,"Naive_like_1_CM","RPL11"
"RNF125",8.17514976060176e-46,0.486195953044166,0.321,0.133,1.33214065349006e-41,"Naive_like_1_CM","RNF125"
"RPL29",1.25309155303226e-45,0.321413184927439,0.997,0.974,2.04191268566607e-41,"Naive_like_1_CM","RPL29"
"IL2RB",5.96622010275312e-45,0.617017139642275,0.542,0.311,9.7219556574362e-41,"Naive_like_1_CM","IL2RB"
"RPS6",6.27384748625077e-45,0.303835830070804,0.998,0.988,1.02232344788456e-40,"Naive_like_1_CM","RPS6"
"RPS23",1.38965505233456e-44,0.287330723259617,0.999,0.985,2.26444290777916e-40,"Naive_like_1_CM","RPS23"
"SEPT6",1.81036031978598e-44,0.570416966170639,0.63,0.399,2.94998214109126e-40,"Naive_like_1_CM","SEPT6"
"RPL37A",1.41879369568399e-43,0.32457777277303,0.989,0.951,2.31192432711706e-39,"Naive_like_1_CM","RPL37A"
"BATF",2.2376328642375e-43,0.560784103934294,0.521,0.293,3.64622275227501e-39,"Naive_like_1_CM","BATF"
"RPL37",1.10983387235011e-42,0.299960556206773,0.996,0.977,1.80847429499451e-38,"Naive_like_1_CM","RPL37"
"SOCS1",1.64263574365896e-42,0.47553892331551,0.32,0.137,2.67667494429227e-38,"Naive_like_1_CM","SOCS1"
"RPS3",1.95494819896807e-42,0.273465777462735,1,0.991,3.18558809021846e-38,"Naive_like_1_CM","RPS3"
"PELI1",1.39388339671255e-41,0.463859397437219,0.259,0.1,2.2713329949431e-37,"Naive_like_1_CM","PELI1"
"ACTG1",6.31628283573653e-41,0.452316858236205,0.845,0.678,1.02923828808327e-36,"Naive_like_1_CM","ACTG1"
"CMSS1",7.68937499905862e-41,0.594458234062332,0.207,0.071,1.2529836560966e-36,"Naive_like_1_CM","CMSS1"
"PGK1",1.01155590346e-40,0.512765423249668,0.84,0.672,1.64833034468807e-36,"Naive_like_1_CM","PGK1"
"ID2",2.80194603188418e-40,0.451878698575244,0.433,0.221,4.56577105895527e-36,"Naive_like_1_CM","ID2"
"IL4R",7.90122769524054e-40,0.484934118864434,0.365,0.173,1.28750505293945e-35,"Naive_like_1_CM","IL4R"
"RPL35",2.77061624800764e-39,0.301252849738901,0.988,0.954,4.51471917612845e-35,"Naive_like_1_CM","RPL35"
"PPP1CB",8.16470204557616e-39,0.510487921897697,0.474,0.259,1.33043819832664e-34,"Naive_like_1_CM","PPP1CB"
"SLC16A3",1.41793937932795e-38,0.470060649557797,0.306,0.134,2.31053221861489e-34,"Naive_like_1_CM","SLC16A3"
"LINC01871",8.30246343300776e-38,0.458345305206829,0.292,0.127,1.35288641640862e-33,"Naive_like_1_CM","LINC01871"
"FOSL2",1.21446598090737e-37,0.394723204662094,0.287,0.122,1.97897231588855e-33,"Naive_like_1_CM","FOSL2"
"MT-CO1",3.34207515687282e-37,0.274520206494278,0.999,0.995,5.44591146812426e-33,"Naive_like_1_CM","MT-CO1"
"PFKFB3",1.21236904412054e-36,0.50139471614605,0.36,0.179,1.97555535739442e-32,"Naive_like_1_CM","PFKFB3"
"STAT3",1.18338390640622e-35,0.466064102876129,0.706,0.497,1.92832407548894e-31,"Naive_like_1_CM","STAT3"
"SELL",1.08373678233509e-34,0.730834837038683,0.318,0.158,1.76594908681502e-30,"Naive_like_1_CM","SELL"
"CD8B",1.41132977263377e-34,0.511826606795157,0.822,0.63,2.29976186450673e-30,"Naive_like_1_CM","CD8B"
"SYTL3",1.27194578074303e-33,0.323602053642852,0.453,0.238,2.07263564972077e-29,"Naive_like_1_CM","SYTL3"
"EEF1B2",2.74539651524117e-33,0.33957822419134,0.96,0.895,4.47362362158548e-29,"Naive_like_1_CM","EEF1B2"
"HGSNAT",9.55981739110385e-33,0.441110190180928,0.315,0.151,1.55777224388037e-28,"Naive_like_1_CM","HGSNAT"
"LRIG1",1.00071405114286e-32,0.399588468512714,0.252,0.108,1.6306635463373e-28,"Naive_like_1_CM","LRIG1"
"HNRNPA1",1.26392207465221e-32,0.31587090151581,0.97,0.902,2.05956102064577e-28,"Naive_like_1_CM","HNRNPA1"
"PRNP",1.33160795778068e-32,0.536543017174366,0.573,0.366,2.16985516720362e-28,"Naive_like_1_CM","PRNP"
"NCS1",2.6031660176286e-32,0.300809336721955,0.119,0.032,4.24185902572581e-28,"Naive_like_1_CM","NCS1"
"RPS21",5.73394278394586e-32,0.2704774649006,0.988,0.964,9.34345976643979e-28,"Naive_like_1_CM","RPS21"
"TNFSF8",1.60470123444841e-31,0.407108226315649,0.179,0.065,2.61486066153369e-27,"Naive_like_1_CM","TNFSF8"
"GLRX",1.22605416406458e-30,0.491774606118481,0.255,0.117,1.99785526034324e-26,"Naive_like_1_CM","GLRX"
"METRNL",5.20111821080512e-30,0.408508146917926,0.25,0.112,8.47522212450694e-26,"Naive_like_1_CM","METRNL"
"MT-ND1",8.82170307325768e-30,0.286729032511381,0.995,0.981,1.43749651578734e-25,"Naive_like_1_CM","MT-ND1"
"SLC7A5",3.01692302963226e-29,0.413816434897325,0.529,0.327,4.91607607678576e-25,"Naive_like_1_CM","SLC7A5"
"GZMB",5.37837005260118e-29,2.10548711788289,0.354,0.212,8.76405400071363e-25,"Naive_like_1_CM","GZMB"
"PGAP1",6.25685758009366e-29,0.283598051461662,0.114,0.032,1.01955494267626e-24,"Naive_like_1_CM","PGAP1"
"FURIN",9.98714479088925e-29,0.400516784740917,0.185,0.073,1.6274052436754e-24,"Naive_like_1_CM","FURIN"
"MT2A",1.10790157245008e-28,0.702437014273683,0.339,0.183,1.80532561230741e-24,"Naive_like_1_CM","MT2A"
"PTGER4",1.99548494476237e-28,0.296751839291277,0.378,0.201,3.25164271749028e-24,"Naive_like_1_CM","PTGER4"
"RGS2",6.13708503297926e-28,0.476409107385253,0.303,0.156,1.00003800612397e-23,"Naive_like_1_CM","RGS2"
"CNOT6L",6.6162252749959e-28,0.402048156234515,0.454,0.262,1.07811390856058e-23,"Naive_like_1_CM","CNOT6L"
"MAST4",5.66029419098931e-27,0.353074821786101,0.166,0.064,9.22344938421708e-23,"Naive_like_1_CM","MAST4"
"ELL2",5.93999137980715e-27,0.270126735557787,0.202,0.084,9.67921595339575e-23,"Naive_like_1_CM","ELL2"
"DCXR",6.54203975586808e-27,0.383981408050767,0.443,0.26,1.0660253782187e-22,"Naive_like_1_CM","DCXR"
"SH2D2A",9.2573876975065e-27,0.31416790890583,0.74,0.532,1.50849132530868e-22,"Naive_like_1_CM","SH2D2A"
"GLIPR1",3.64867929494488e-26,0.395163675245839,0.453,0.274,5.94552291111269e-22,"Naive_like_1_CM","GLIPR1"
"INPP4B",5.9588249697669e-26,0.384872503038013,0.237,0.111,9.70990528823517e-22,"Naive_like_1_CM","INPP4B"
"RHBDF2",7.49028024938957e-26,0.430699929337192,0.302,0.157,1.22054116663803e-21,"Naive_like_1_CM","RHBDF2"
"RFTN1",7.7660462714747e-26,0.356512698187066,0.397,0.224,1.2654772399368e-21,"Naive_like_1_CM","RFTN1"
"MT-ATP8",8.04947392059175e-26,0.428779100028195,0.866,0.747,1.31166177536043e-21,"Naive_like_1_CM","MT-ATP8"
"MTHFD2",1.05161238628967e-25,0.362007292724847,0.312,0.162,1.71360238345902e-21,"Naive_like_1_CM","MTHFD2"
"SGK1",1.42907271687266e-25,0.333994937390612,0.162,0.063,2.328673992144e-21,"Naive_like_1_CM","SGK1"
"TMSB4X",3.76742028509929e-25,0.270588807646212,0.995,0.982,6.13901135456929e-21,"Naive_like_1_CM","TMSB4X"
"FAAH2",4.86934516772334e-25,0.288912628067862,0.143,0.052,7.93459795080518e-21,"Naive_like_1_CM","FAAH2"
"MAF",8.55355303308682e-25,0.378968039645037,0.13,0.045,1.3938014667415e-20,"Naive_like_1_CM","MAF"
"TGFB1",1.30700023763433e-24,0.46667434329954,0.75,0.583,2.12975688722515e-20,"Naive_like_1_CM","TGFB1"
"IQGAP2",1.38995648166639e-24,0.390031649673351,0.345,0.193,2.26493408687537e-20,"Naive_like_1_CM","IQGAP2"
"PITPNC1",1.91116385521543e-24,0.403264038818066,0.481,0.307,3.11424150207354e-20,"Naive_like_1_CM","PITPNC1"
"GABARAPL1",2.18128834955708e-24,0.295781443323077,0.71,0.513,3.55440936560326e-20,"Naive_like_1_CM","GABARAPL1"
"IFITM2",2.2639949076505e-24,0.591666396725868,0.607,0.444,3.68917970201648e-20,"Naive_like_1_CM","IFITM2"
"IFITM1",2.37051080046572e-24,0.36880473217043,0.816,0.647,3.86274734935888e-20,"Naive_like_1_CM","IFITM1"
"MT-ND3",3.38223551559989e-24,0.254320026754975,0.999,0.973,5.51135277267002e-20,"Naive_like_1_CM","MT-ND3"
"PRF1",1.11362373939189e-23,0.898796949764783,0.394,0.256,1.81464988333908e-19,"Naive_like_1_CM","PRF1"
"RARRES3",1.16123549479978e-23,0.603357701205266,0.603,0.434,1.89223323877624e-19,"Naive_like_1_CM","RARRES3"
"RPL22",1.54611039727735e-23,0.266175622764344,0.982,0.914,2.51938689236345e-19,"Naive_like_1_CM","RPL22"
"TPM4",3.16302094191651e-23,0.323177742019116,0.321,0.175,5.15414262485295e-19,"Naive_like_1_CM","TPM4"
"GPRIN3",3.61676300683664e-23,0.355712411489545,0.321,0.178,5.8935153196403e-19,"Naive_like_1_CM","GPRIN3"
"SMCHD1",4.40399602903176e-23,0.427365676063915,0.629,0.463,7.17631152930725e-19,"Naive_like_1_CM","SMCHD1"
"FAM177A1",7.20045797190686e-23,0.265168110223039,0.575,0.383,1.17331462652222e-18,"Naive_like_1_CM","FAM177A1"
"ITGA4",1.0755449439747e-22,0.430038444570577,0.483,0.315,1.75260048620677e-18,"Naive_like_1_CM","ITGA4"
"LDHA",1.34240687014694e-22,0.309845749266578,0.881,0.755,2.18745199490444e-18,"Naive_like_1_CM","LDHA"
"RPL10A",3.91374655080129e-22,0.258670119929536,0.97,0.898,6.37745000453071e-18,"Naive_like_1_CM","RPL10A"
"MYC",4.32976056723193e-22,0.309888896670055,0.258,0.132,7.05534484430443e-18,"Naive_like_1_CM","MYC"
"CD226",9.54105006605282e-22,0.313465885155498,0.128,0.048,1.55471410826331e-17,"Naive_like_1_CM","CD226"
"RASSF5",1.21538294500871e-21,0.340501040609862,0.491,0.318,1.98046650889169e-17,"Naive_like_1_CM","RASSF5"
"EEF2",1.48574530632031e-21,0.271588644479811,0.971,0.914,2.42102197664895e-17,"Naive_like_1_CM","EEF2"
"IL7R",1.67138527898759e-21,0.317232762581186,0.898,0.76,2.72352231211028e-17,"Naive_like_1_CM","IL7R"
"FXYD5",2.14559962158555e-21,0.282513230787262,0.893,0.776,3.49625458337366e-17,"Naive_like_1_CM","FXYD5"
"PTPN1",6.66312476537957e-21,0.348314047019363,0.425,0.265,1.0857561805186e-16,"Naive_like_1_CM","PTPN1"
"PLA2G16",3.24763692436656e-20,0.358576573990684,0.225,0.114,5.2920243682553e-16,"Naive_like_1_CM","PLA2G16"
"BAZ1A",4.12875936395807e-20,0.337306097098022,0.554,0.375,6.72781338356968e-16,"Naive_like_1_CM","BAZ1A"
"CTLA4",8.17299467152056e-20,0.323825010771437,0.134,0.054,1.33178948172428e-15,"Naive_like_1_CM","CTLA4"
"TMEM173",1.22935756585595e-19,0.261776943498889,0.102,0.035,2.00323815356227e-15,"Naive_like_1_CM","TMEM173"
"TNIK",1.33796874960189e-19,0.270271064746974,0.265,0.141,2.18022007747628e-15,"Naive_like_1_CM","TNIK"
"SBNO2",1.53847566405914e-19,0.327353794432006,0.163,0.074,2.50694609458437e-15,"Naive_like_1_CM","SBNO2"
"CAMK4",2.78550936443255e-19,0.395141166347181,0.49,0.335,4.53898750934284e-15,"Naive_like_1_CM","CAMK4"
"RNF213",9.01328934532791e-19,0.353541118629989,0.626,0.457,1.46871549882118e-14,"Naive_like_1_CM","RNF213"
"GPR183",1.03994251203709e-18,0.325719189274787,0.605,0.432,1.69458632336445e-14,"Naive_like_1_CM","GPR183"
"PRKX",1.45823404796751e-18,0.292830679773095,0.298,0.169,2.37619238116307e-14,"Naive_like_1_CM","PRKX"
"NHP2",1.73174944823493e-18,0.317122027733251,0.394,0.25,2.82188572589882e-14,"Naive_like_1_CM","NHP2"
"GK",2.12776586283489e-18,0.450140325682607,0.107,0.041,3.46719447348946e-14,"Naive_like_1_CM","GK"
"GNLY",2.72446754563755e-18,1.3846586648902,0.335,0.232,4.43951986561638e-14,"Naive_like_1_CM","GNLY"
"KLRD1",4.38458287398688e-18,0.368421296678728,0.393,0.255,7.14467779316161e-14,"Naive_like_1_CM","KLRD1"
"IKZF3",6.99950329399279e-18,0.344980430893912,0.582,0.418,1.14056906175613e-13,"Naive_like_1_CM","IKZF3"
"LITAF",2.06007761069203e-17,0.299928999272553,0.67,0.519,3.35689646662266e-13,"Naive_like_1_CM","LITAF"
"RPL36A",2.46548455702958e-17,0.304437215826371,0.698,0.527,4.0175070856797e-13,"Naive_like_1_CM","RPL36A"
"GYPC",2.70790239191333e-17,0.359294293840369,0.44,0.292,4.41252694762277e-13,"Naive_like_1_CM","GYPC"
"STAT4",4.64642897175737e-17,0.287114804830998,0.418,0.267,7.57135600947864e-13,"Naive_like_1_CM","STAT4"
"STOM",4.80259620369207e-17,0.292661890731117,0.427,0.278,7.82583051391623e-13,"Naive_like_1_CM","STOM"
"KDSR",7.15826629659947e-17,0.302857785865429,0.339,0.207,1.16643949303088e-12,"Naive_like_1_CM","KDSR"
"KLRB1",9.87208000996601e-17,0.334786085537262,0.141,0.064,1.60865543762396e-12,"Naive_like_1_CM","KLRB1"
"USP36",1.08337744452434e-16,0.280483879806765,0.298,0.175,1.76536354585241e-12,"Naive_like_1_CM","USP36"
"CDK6",1.72190096685869e-16,0.368499705339853,0.204,0.109,2.80583762549624e-12,"Naive_like_1_CM","CDK6"
"ST3GAL1",2.79091224199403e-16,0.308113169980985,0.283,0.169,4.54779149832928e-12,"Naive_like_1_CM","ST3GAL1"
"TYMP",3.43207761069165e-16,0.433328574845077,0.423,0.291,5.59257046662205e-12,"Naive_like_1_CM","TYMP"
"GPR171",3.78524286760186e-16,0.373366673671239,0.329,0.207,6.16805325275723e-12,"Naive_like_1_CM","GPR171"
"PREX1",3.89652070549035e-16,0.297956538292765,0.379,0.24,6.34938048959652e-12,"Naive_like_1_CM","PREX1"
"MAP3K8",9.35853691851246e-16,0.305757968221798,0.206,0.111,1.52497359087161e-11,"Naive_like_1_CM","MAP3K8"
"CD53",1.65158183136923e-15,0.260285141285588,0.809,0.661,2.69125259421616e-11,"Naive_like_1_CM","CD53"
"SLA",2.80171760561568e-15,0.288648628457523,0.393,0.258,4.56539883835076e-11,"Naive_like_1_CM","SLA"
"PPA1",2.96754721601425e-15,0.27793176210153,0.414,0.273,4.83561818849522e-11,"Naive_like_1_CM","PPA1"
"SLC39A10",5.57125991749484e-15,0.277803992543843,0.22,0.123,9.07836803555784e-11,"Naive_like_1_CM","SLC39A10"
"CYTOR",8.62195815428908e-15,0.315240547277512,0.515,0.373,1.40494808124141e-10,"Naive_like_1_CM","CYTOR"
"PSMD13",1.56709911379228e-14,0.308504727246321,0.529,0.381,2.55358800592452e-10,"Naive_like_1_CM","PSMD13"
"STAT5A",1.75974417669076e-14,0.273996302616843,0.44,0.298,2.86750313591759e-10,"Naive_like_1_CM","STAT5A"
"XCL1",2.7585593685596e-14,0.515834852752555,0.177,0.094,4.49507249106787e-10,"Naive_like_1_CM","XCL1"
"WHRN",6.17706023562696e-14,0.339269716832298,0.257,0.155,1.00655196539541e-09,"Naive_like_1_CM","WHRN"
"RBBP7",1.06352761592768e-13,0.294445148065691,0.44,0.313,1.73301825015416e-09,"Naive_like_1_CM","RBBP7"
"GRK5",1.31149901866067e-13,0.304724698825764,0.152,0.079,2.13708765090756e-09,"Naive_like_1_CM","GRK5"
"P2RY8",4.50433625275951e-13,0.270726111003891,0.43,0.303,7.33981592387162e-09,"Naive_like_1_CM","P2RY8"
"FAM129A",5.11114161175095e-13,0.255169674174912,0.609,0.456,8.32860525634818e-09,"Naive_like_1_CM","FAM129A"
"AKNA",7.87583792934933e-13,0.362761357930835,0.626,0.507,1.28336779058747e-08,"Naive_like_1_CM","AKNA"
"TNFRSF18",9.11736763068277e-12,0.251077670523765,0.141,0.074,1.48567505541976e-07,"Naive_like_1_CM","TNFRSF18"
"MIR4435-2HG",3.70174164227588e-10,0.257968882308902,0.176,0.105,6.03198800608855e-06,"Naive_like_1_CM","MIR4435-2HG"
"G3BP2",5.87904050569895e-09,0.251791227878807,0.474,0.363,9.57989650403643e-05,"Naive_like_1_CM","G3BP2"
"LCP1",1.23479712156716e-06,0.257371286283778,0.558,0.462,0.0201210190959368,"Naive_like_1_CM","LCP1"
"LMNA",0,3.31702191033673,0.937,0.492,0,"Naive_like_2_SC","LMNA"
"MYADM",0,2.83851777958456,0.805,0.224,0,"Naive_like_2_SC","MYADM"
"FOSB",4.08418293813091e-296,2.15829984832701,0.372,0.023,6.65517609768432e-292,"Naive_like_2_SC","FOSB"
"ADGRE5",2.96285216371153e-271,2.06212836936855,0.835,0.419,4.82796760076794e-267,"Naive_like_2_SC","ADGRE5"
"TSC22D3",9.56738990160992e-246,2.22434535496506,0.888,0.583,1.55900618446734e-241,"Naive_like_2_SC","TSC22D3"
"TAGLN2",9.73094692558543e-245,1.54847507349531,0.945,0.832,1.58565780152415e-240,"Naive_like_2_SC","TAGLN2"
"EIF1",2.06921032867418e-244,1.11491189844222,0.99,0.992,3.37177823057457e-240,"Naive_like_2_SC","EIF1"
"EZR",1.11202669571648e-239,1.62440796676333,0.949,0.868,1.81204750067e-235,"Naive_like_2_SC","EZR"
"PPP1R15A",3.45506829688023e-238,2.01014954882529,0.85,0.508,5.63003378976633e-234,"Naive_like_2_SC","PPP1R15A"
"H3F3B",1.15886928714463e-236,1.4014468274823,0.99,0.971,1.88837750340217e-232,"Naive_like_2_SC","H3F3B"
"RGCC",6.04810134360264e-236,2.32325959007404,0.833,0.491,9.8553811394005e-232,"Naive_like_2_SC","RGCC"
"SRSF7",1.50127798968884e-224,2.12700218288716,0.884,0.63,2.44633248419797e-220,"Naive_like_2_SC","SRSF7"
"KLF6",2.69398408147582e-224,1.87952628229467,0.963,0.909,4.38984706076485e-220,"Naive_like_2_SC","KLF6"
"UBB",2.13819464443787e-192,1.46624047911686,0.92,0.741,3.48418817311151e-188,"Naive_like_2_SC","UBB"
"NR4A2",2.32643524859594e-192,2.62036005928518,0.442,0.095,3.79092623758709e-188,"Naive_like_2_SC","NR4A2"
"YPEL5",9.58456213653978e-189,1.75011902980781,0.773,0.444,1.56180440014916e-184,"Naive_like_2_SC","YPEL5"
"NR4A1",2.57655201848089e-180,2.09711747298031,0.284,0.028,4.1984915141146e-176,"Naive_like_2_SC","NR4A1"
"REL",9.69827109627733e-175,1.92622792717924,0.615,0.25,1.58033327513839e-170,"Naive_like_2_SC","REL"
"SRSF3",2.67172060251025e-173,1.75332752880472,0.769,0.473,4.35356872179045e-169,"Naive_like_2_SC","SRSF3"
"SRSF2",1.23177455809217e-171,1.48298111438772,0.868,0.65,2.00717664241119e-167,"Naive_like_2_SC","SRSF2"
"HSPH1",2.48009667469172e-163,1.92764634277867,0.568,0.203,4.04131753141017e-159,"Naive_like_2_SC","HSPH1"
"NFKBIA",3.45285700404989e-157,1.92280947051056,0.796,0.517,5.62643048809929e-153,"Naive_like_2_SC","NFKBIA"
"RARA",7.35567529064706e-157,1.34242388472964,0.498,0.152,1.19860728861094e-152,"Naive_like_2_SC","RARA"
"DNAJA1",1.43388824512595e-156,1.86750220914599,0.705,0.37,2.33652089543274e-152,"Naive_like_2_SC","DNAJA1"
"FOS",1.87843310693994e-156,2.87444752356294,0.501,0.156,3.06090674775864e-152,"Naive_like_2_SC","FOS"
"CRIP2",6.3559345437929e-153,1.86900912350841,0.451,0.125,1.03569953391105e-148,"Naive_like_2_SC","CRIP2"
"CCDC173",1.48483516468524e-152,0.86335568369052,0.171,0.005,2.41953890085459e-148,"Naive_like_2_SC","CCDC173"
"SERTAD1",4.44533835175793e-152,1.44797595832868,0.521,0.174,7.24367884418955e-148,"Naive_like_2_SC","SERTAD1"
"SNHG12",1.93613049769979e-145,1.50345931461397,0.673,0.359,3.1549246460018e-141,"Naive_like_2_SC","SNHG12"
"UBC",1.89121588264795e-144,1.08697375991159,0.985,0.97,3.08173628077483e-140,"Naive_like_2_SC","UBC"
"MCL1",3.67882410981573e-143,1.64152432289057,0.784,0.525,5.99464388694473e-139,"Naive_like_2_SC","MCL1"
"KDM6B",3.90495976095982e-143,1.49138129148116,0.578,0.235,6.36313193048403e-139,"Naive_like_2_SC","KDM6B"
"DYNLL1",1.03727010140453e-142,1.62258590973837,0.731,0.439,1.69023163023869e-138,"Naive_like_2_SC","DYNLL1"
"LRRFIP1",2.71730465732839e-142,1.32718542356461,0.83,0.63,4.42784793911662e-138,"Naive_like_2_SC","LRRFIP1"
"RSRC2",3.70315768474941e-142,1.50623293501036,0.637,0.308,6.03429544729917e-138,"Naive_like_2_SC","RSRC2"
"IVNS1ABP",1.28136957817427e-139,1.32287275465021,0.569,0.232,2.08799172763497e-135,"Naive_like_2_SC","IVNS1ABP"
"ATF4",8.67828688072638e-138,1.2156497471078,0.705,0.395,1.41412684721436e-133,"Naive_like_2_SC","ATF4"
"CA5B",1.25595433254622e-136,1.23221867802857,0.381,0.094,2.04657758488407e-132,"Naive_like_2_SC","CA5B"
"NR4A3",4.3332789131498e-135,1.13016309705298,0.237,0.029,7.0610779889776e-131,"Naive_like_2_SC","NR4A3"
"ATF3",6.4522309395885e-135,1.1494167958433,0.189,0.014,1.05139103160595e-130,"Naive_like_2_SC","ATF3"
"JUNB",5.05971576586728e-133,1.81105249172937,0.761,0.483,8.24480684048073e-129,"Naive_like_2_SC","JUNB"
"PER1",3.41687689063647e-132,1.18461562130354,0.283,0.048,5.56780089329213e-128,"Naive_like_2_SC","PER1"
"AC020916.1",7.79804853713043e-132,1.37018212094685,0.24,0.031,1.2706920091254e-127,"Naive_like_2_SC","AC020916.1"
