"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PHF20",2.30494602889946e-09,0.366631376088236,0.286,0.21,3.75590955409167e-05,"Naive_like_2_SC","PHF20"
"OAZ1",2.41964619559615e-09,0.271084113591903,0.934,0.965,3.94281347572392e-05,"Naive_like_2_SC","OAZ1"
"NUP88",2.48154519877947e-09,0.278724367057387,0.141,0.083,4.04367790141114e-05,"Naive_like_2_SC","NUP88"
"MYDGF",2.50362058360820e-09,0.327492798768296,0.437,0.369,4.07964974098955e-05,"Naive_like_2_SC","MYDGF"
"DYNC1LI1",2.50434789958534e-09,0.309972913274108,0.215,0.146,4.08083490237432e-05,"Naive_like_2_SC","DYNC1LI1"
"ABCE1",2.52481966785709e-09,0.321723515696339,0.209,0.14,4.11419364877313e-05,"Naive_like_2_SC","ABCE1"
"RBM38",2.56240329572454e-09,0.267628686533203,0.132,0.076,4.17543617038313e-05,"Naive_like_2_SC","RBM38"
"CTNNB1",2.60137686637493e-09,0.339321891541835,0.24,0.167,4.23894360375795e-05,"Naive_like_2_SC","CTNNB1"
"BROX",2.65905791625768e-09,0.296718498147045,0.149,0.089,4.3329348745419e-05,"Naive_like_2_SC","BROX"
"GNL1",2.78854810388875e-09,0.3160334306905,0.349,0.273,4.54393913528671e-05,"Naive_like_2_SC","GNL1"
"DNAAF2",2.79633544964635e-09,0.41220982681341,0.265,0.195,4.55662861519872e-05,"Naive_like_2_SC","DNAAF2"
"MARS",2.93874467783562e-09,0.329988755010741,0.353,0.271,4.78868445253315e-05,"Naive_like_2_SC","MARS"
"LARP4",3.02948304384458e-09,0.253128650193912,0.146,0.087,4.93654261994474e-05,"Naive_like_2_SC","LARP4"
"MOB2",3.04560670178759e-09,0.329835992170153,0.271,0.197,4.96281612056288e-05,"Naive_like_2_SC","MOB2"
"CCNL2",3.05659727047954e-09,0.326685261848678,0.27,0.195,4.98072525224641e-05,"Naive_like_2_SC","CCNL2"
"AKAP17A",3.08091153068545e-09,0.284352507289759,0.186,0.121,5.02034533925194e-05,"Naive_like_2_SC","AKAP17A"
"RSPRY1",3.29220802229861e-09,0.30471149669791,0.191,0.125,5.36465297233559e-05,"Naive_like_2_SC","RSPRY1"
"METRNL1",3.40004681321065e-09,0.374714702463125,0.192,0.125,5.54037628212675e-05,"Naive_like_2_SC","METRNL"
