gene_symbol,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,DE
TAP1,4.76E-65,0.592402902,0.817,0.632,7.76E-61,up
LIPA,4.86E-84,0.586810514,0.247,0.072,7.92E-80,up
TRAV12-2,7.85E-22,0.585237422,0.086,0.03,1.28E-17,up
SLFN5,9.68E-48,0.568848058,0.565,0.361,1.58E-43,up
SHISA5,9.38E-50,0.564368194,0.66,0.468,1.53E-45,up
STOM,1.99E-41,0.560930013,0.498,0.319,3.23E-37,up
DHX58,3.03E-91,0.545352809,0.186,0.04,4.93E-87,up
PSMB8,4.70E-59,0.544741385,0.798,0.629,7.65E-55,up
CXCL13,2.11E-61,-2.692645876,0.018,0.237,3.44E-57,down
CCND3,1.72E-49,0.544030408,0.404,0.213,2.80E-45,up
CHMP5,3.54E-39,0.539601924,0.446,0.277,5.77E-35,up
STAT2,2.65E-51,0.533551415,0.253,0.102,4.32E-47,up
MYL12A,4.94E-47,0.530109974,0.838,0.686,8.05E-43,up
EIF1AY,2.31E-65,0.508578633,0.229,0.074,3.77E-61,up
BISPR,9.12E-69,0.504313223,0.201,0.058,1.49E-64,up
TNFSF10,4.09E-38,0.503491337,0.394,0.224,6.67E-34,up
SMCHD1,1.16E-35,0.499015429,0.66,0.5,1.90E-31,up
HLA-B,6.71E-129,0.49807236,1,0.998,1.09E-124,up
PSMB10,1.57E-41,0.493285365,0.628,0.439,2.56E-37,up
HLA-C,1.10E-154,0.493203498,1,0.997,1.80E-150,up
GZMB,5.55E-58,-2.129466237,0.262,0.493,9.05E-54,down
PHLDA1,5.01E-57,-1.329231009,0.115,0.345,8.16E-53,down
RAC2,2.72E-37,0.492579594,0.739,0.596,4.43E-33,up
PML,1.48E-38,0.491258227,0.268,0.129,2.41E-34,up
KLRG1,5.15E-50,0.49044384,0.204,0.072,8.38E-46,up
CD8A,2.17E-49,0.490041872,0.922,0.813,3.54E-45,up
NT5C3A,1.77E-31,0.489386686,0.411,0.264,2.88E-27,up
PYURF,1.05E-34,0.487069343,0.489,0.326,1.71E-30,up
SH2D1A,1.73E-37,0.48575938,0.471,0.295,2.82E-33,up
COTL1,3.43E-32,0.475501051,0.734,0.586,5.59E-28,up
LYSMD2,8.87E-35,0.474329163,0.488,0.322,1.45E-30,up
CD8B,2.29E-25,0.473172526,0.765,0.675,3.73E-21,up
TRIM14,9.72E-52,0.473052723,0.226,0.084,1.58E-47,up
HLA-A,1.81E-134,0.473001459,1,0.996,2.95E-130,up
PDCD4,2.38E-28,0.471918867,0.604,0.455,3.87E-24,up
N4BP1,4.53E-34,0.468799849,0.354,0.201,7.37E-30,up
TMEM123,5.12E-25,0.468044322,0.493,0.361,8.34E-21,up
CST7,3.49E-39,0.46785645,0.878,0.764,5.69E-35,up
AC116366.3,6.82E-38,0.467108454,0.275,0.133,1.11E-33,up
SPATS2L,5.59E-50,0.465353787,0.189,0.064,9.10E-46,up
GZMM,1.13E-23,0.455319761,0.422,0.289,1.83E-19,up
SQSTM1,2.21E-44,-0.866956073,0.589,0.719,3.60E-40,down
SLC3A2,2.97E-44,-0.702860198,0.578,0.719,4.85E-40,down
CD164,8.80E-31,0.455048464,0.545,0.4,1.43E-26,up
CLDND1,4.20E-24,0.454890299,0.682,0.573,6.85E-20,up
NFATC2,4.79E-30,0.453656549,0.534,0.38,7.80E-26,up
TRBV12-5,6.97E-11,0.452791508,0.028,0.007,1.14E-06,up
ANXA1,1.24E-59,0.432999577,0.94,0.763,2.02E-55,up
GALNT2,1.32E-40,-0.867277769,0.075,0.253,2.16E-36,down
SAMD3,3.43E-34,0.42798935,0.346,0.19,5.60E-30,up
SLC38A5,3.45E-31,0.427113315,0.222,0.107,5.62E-27,up
C1orf21,1.07E-31,0.426429967,0.222,0.102,1.74E-27,up
HLA-E,4.05E-75,0.425983607,0.994,0.964,6.59E-71,up
TRIM5,1.65E-36,0.425625402,0.195,0.081,2.69E-32,up
ITGB2,3.77E-29,0.425253098,0.249,0.128,6.14E-25,up
HAVCR2,3.63E-38,-0.856530913,0.028,0.18,5.91E-34,down
NLRC5,2.85E-29,0.42338007,0.295,0.164,4.64E-25,up
PRKD2,5.35E-33,0.422728592,0.217,0.1,8.72E-29,up
GIMAP2,1.55E-29,0.419855229,0.259,0.135,2.52E-25,up
IDH2,6.24E-31,0.417554118,0.326,0.183,1.02E-26,up
KLRC1,1.22E-37,-1.05052927,0.055,0.22,1.99E-33,down
EHD4,3.26E-25,0.416088512,0.31,0.188,5.32E-21,up
UBB,1.99E-37,-0.617992046,0.703,0.804,3.25E-33,down
NAPA,2.18E-27,0.415034001,0.566,0.422,3.55E-23,up
SAMHD1,1.64E-34,0.414625778,0.248,0.117,2.67E-30,up
CD48,7.47E-32,0.413187941,0.608,0.431,1.22E-27,up
ARHGAP25,3.53E-25,0.410413698,0.284,0.164,5.76E-21,up
CD7,1.94E-36,-0.589420692,0.768,0.859,3.16E-32,down
EIF1,2.98E-36,-0.415238731,0.993,0.989,4.85E-32,down
MYD88,4.42E-28,0.41013652,0.331,0.197,7.21E-24,up
TMSB4X,4.06E-72,0.408858855,0.999,0.985,6.62E-68,up
CCL3,5.55E-35,-2.510628268,0.06,0.214,9.05E-31,down
EOMES,2.05E-29,0.401570946,0.308,0.167,3.35E-25,up
GSDMD,1.59E-26,0.399394068,0.321,0.192,2.60E-22,up
C4orf3,2.59E-30,0.398198359,0.674,0.525,4.21E-26,up
GLUD1,1.07E-34,-0.756203149,0.315,0.486,1.75E-30,down
ENTPD1,1.44E-34,-0.656503804,0.011,0.144,2.35E-30,down
SELL,1.19E-08,0.39632284,0.222,0.159,0.000194428,up
TRAT1,2.43E-29,0.395517682,0.482,0.31,3.95E-25,up
