"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"72","AKAP5",6.66858153863912e-74,-0.984860311074734,0.018,0.33,1.08664536172124e-69
"73","CORO1A",1.45397522602722e-73,-1.37268778983101,0.476,0.798,2.36925263081135e-69
"74","CD109",2.03296497569214e-73,-1.10761160397256,0.054,0.403,3.31271642789034e-69
"75","KLRD1",4.3299986687088e-73,-1.0305722143184,0.459,0.903,7.05573283066099e-69
"76","PABPC1",1.29788571013414e-72,0.994026048147785,0.964,0.868,2.11490476466359e-68
"77","RIN3",1.90753368231264e-72,-1.09215640324734,0.229,0.624,3.10832613532844e-68
"78","RPS28",2.50275647469935e-72,0.677886677307407,0.993,0.987,4.07824167552259e-68
"79","INPP5F",1.10072813228051e-71,-1.05624166825446,0.048,0.384,1.79363649155109e-67
"80","RPL9",2.02712575132808e-71,0.56771023508938,0.996,0.99,3.30320141178911e-67
"81","HSP90AB1",2.27365364790348e-71,0.786680863586654,0.991,0.978,3.70491861925873e-67
"82","RPL28",6.77509059607971e-71,0.563288675671512,1,1,1.10400101263119e-66
"83","JUN",1.52953876597737e-70,-1.07373448035951,0.554,0.88,2.49238341916013e-66
"84","RPL7A",1.56272148734074e-70,0.577576842252462,0.999,0.996,2.54645466362173e-66
"85","MYO1E",5.03500155622134e-70,-1.03811343011599,0.015,0.307,8.20453503586267e-66
"86","ITGA1",6.96339389521659e-70,-1.05788397205653,0.152,0.54,1.13468503522554e-65
