"","Naive_like_1","Naive_like_2","Naive_like_3","GZMK","ISG","Stimulated_1","Stimulated_exhausted","Exhausted_1","Exhausted_2","TRM","Proliferative"
"nonGZMK",0,0,0,17.5813953488372,32.4651162790698,49.953488372093,0,0,0,0,0
"nonunique",0,0,0,44.7236180904523,18.0904522613065,37.1859296482412,0,0,0,0,0
"unique",0,0,0,41.2587412587413,2.7972027972028,55.9440559440559,0,0,0,0,0
